ID,p_val,log2FC,pct.1,pct.2,Pvalue,,,,
Rragd,0.378865335,0.003682586,0.12,0.11,1,,,,
Gm49267,0.201181717,0.003676218,0.004,0.001,1,,,,
Rtl4,0.307664664,0.003676218,0.002,0.001,1,,,,
Twist1,0.307664699,0.003676218,0.002,0.001,1,,,,
Gm30363,0.307763767,0.003676218,0.002,0.001,1,,,,
Gm30124,0.365691526,0.003676218,0.003,0.001,1,,,,
Gm10553,0.625858334,0.003676218,0.001,0.001,1,,,,
Fam83g,0.625858334,0.003676218,0.001,0.001,1,,,,
Vamp9,0.626039575,0.003676218,0.001,0.001,1,,,,
Otogl,0.626220844,0.003676218,0.001,0.001,1,,,,
Tbx19,0.653167735,0.003676218,0.002,0.001,1,,,,
Zfp960,0.653446778,0.003676218,0.002,0.001,1,,,,
Lypd6,0.653725853,0.003676218,0.002,0.001,1,,,,
Lgr5,0.861844532,0.003676218,0.002,0.001,1,,,,
Gm45502,0.861844538,0.003676218,0.002,0.001,1,,,,
Gm47512,0.861844538,0.003676218,0.002,0.001,1,,,,
Slc25a21,0.861844538,0.003676218,0.002,0.001,1,,,,
Klhl33,0.880496763,0.003676218,0.001,0.001,1,,,,
Rusc1,0.476166474,0.003673434,0.036,0.041,1,,,,
Poglut2,0.266864886,0.003664925,0.031,0.038,1,,,,
Rragb,0.272705776,0.003628394,0.003,0.005,1,,,,
Prss16,0.38549753,0.003628394,0.002,0.003,1,,,,
Igf2bp1,0.630982064,0.003628394,0.006,0.005,1,,,,
Gm50107,0.654743541,0.003628394,0.004,0.003,1,,,,
Gm49494,0.765070302,0.003628394,0.005,0.005,1,,,,
Abhd3,0.794412607,0.003628394,0.004,0.004,1,,,,
Gm48226,0.529736137,0.003615365,0.033,0.03,1,,,,
Noc2l,0.563581795,0.003601669,0.941,0.946,1,,,,
Abca2,0.882477904,0.003601061,0.023,0.024,1,,,,
Rhbdl3,0.992448597,0.003586134,0.007,0.007,1,,,,
Tgm4,0.490964986,0.003575817,0.002,0.001,1,,,,
A230087F16Rik,0.830824902,0.003575817,0.002,0.002,1,,,,
Vpreb3,0.831224173,0.003575817,0.002,0.002,1,,,,
Srms,0.862337113,0.003575817,0.002,0.001,1,,,,
Paqr5,0.9656449,0.003575817,0.002,0.002,1,,,,
Zfp146,0.45049966,0.003560488,0.024,0.028,1,,,,
Rmdn2,0.959534544,0.003560488,0.025,0.025,1,,,,
Rpusd4,0.960129579,0.003536458,0.042,0.042,1,,,,
Mfap4,0.655359022,0.003528554,0.004,0.003,1,,,,
Sh2d2a,0.784330329,0.003528554,0.004,0.003,1,,,,
Gm10791,0.794922775,0.003528554,0.004,0.004,1,,,,
4931413K12Rik,0.951891719,0.003528554,0.004,0.004,1,,,,
Ppm1j,0.437101333,0.003522956,0.002,0.001,1,,,,
Lyzl4os,0.437101333,0.003522956,0.002,0.001,1,,,,
Fyb2,0.437236323,0.003522956,0.002,0.001,1,,,,
Grid2ip,0.437236329,0.003522956,0.002,0.001,1,,,,
Platr23,0.625858334,0.003522956,0.001,0.001,1,,,,
Map1a,0.625858334,0.003522956,0.001,0.001,1,,,,
Cacng7,0.625858334,0.003522956,0.001,0.001,1,,,,
Spib,0.625858334,0.003522956,0.001,0.001,1,,,,
Ap1m2,0.625858334,0.003522956,0.001,0.001,1,,,,
Gm40617,0.625858334,0.003522956,0.001,0.001,1,,,,
Rtl10,0.625858334,0.003522956,0.001,0.001,1,,,,
Kcnt2,0.626039575,0.003522956,0.001,0.001,1,,,,
Adam11,0.626039575,0.003522956,0.001,0.001,1,,,,
Sema3g,0.697692154,0.003522956,0,0.001,1,,,,
Gm36363,0.697692154,0.003522956,0,0.001,1,,,,
Lrrc8e,0.902450087,0.003522956,0.001,0.001,1,,,,
Hoxb7,0.902450087,0.003522956,0.001,0.001,1,,,,
Fgf9,0.902450087,0.003522956,0.001,0.001,1,,,,
Gm14827,0.902450087,0.003522956,0.001,0.001,1,,,,
Cox11,0.758248656,0.003520836,0.93,0.931,1,,,,
Creb3l2,0.260196069,0.003512038,0.945,0.958,1,,,,
Gm10642,0.340949264,0.003498966,0.017,0.021,1,,,,
Zfp39,0.509898147,0.003487557,0.01,0.008,1,,,,
Ifit1bl2,0.606295262,0.003487557,0.008,0.007,1,,,,
Luzp4,0.871976308,0.003487557,0.014,0.013,1,,,,
Trp53i11,0.385763521,0.003475812,0.002,0.003,1,,,,
Nrip3,0.499746297,0.003475812,0.004,0.005,1,,,,
Foxd2,0.795126791,0.003475812,0.004,0.004,1,,,,
Gm37640,0.806027583,0.003475812,0.003,0.003,1,,,,
Sorbs2,0.851382241,0.003475812,0.004,0.005,1,,,,
Cdc25b,0.751337024,0.003449847,0.041,0.043,1,,,,
Trpc4ap,0.27027117,0.003448718,0.939,0.926,1,,,,
Map2k7,0.733608058,0.003445798,0.123,0.119,1,,,,
Iffo1,0.299489541,0.003444168,0.037,0.044,1,,,,
Prkch,0.64148672,0.003441299,0.293,0.305,1,,,,
Tom1,0.596641172,0.003440776,0.94,0.94,1,,,,
Ppip5k1,0.567517896,0.003438411,0.038,0.042,1,,,,
Casc1,0.910821158,0.003435331,0.007,0.007,1,,,,
Ptprn2,0.649029307,0.003429104,0.004,0.003,1,,,,
Adamts5,0.780470134,0.003429104,0.008,0.007,1,,,,
Aldh1a2,0.218081483,0.003422785,0.002,0.001,1,,,,
Gm13546,0.437776613,0.003422785,0.002,0.001,1,,,,
Dpf3,0.657785608,0.003422785,0.003,0.002,1,,,,
Nova2,0.805340851,0.003422785,0.003,0.003,1,,,,
A430010J10Rik,0.861844537,0.003422785,0.002,0.001,1,,,,
Gm31834,0.862008729,0.003422785,0.002,0.001,1,,,,
Gm31036,0.862172923,0.003422785,0.002,0.001,1,,,,
Gm49077,0.789633035,0.003420658,0.021,0.023,1,,,,
Mapk3,0.944090898,0.003392797,0.973,0.969,1,,,,
Mmp25,0.593745383,0.00338936,0.009,0.007,1,,,,
Gm8066,0.409389993,0.003382827,0.006,0.008,1,,,,
Capn9,0.763119766,0.003376199,0.005,0.004,1,,,,
Gnb3,0.127423138,0.003369472,0.002,0,1,,,,
Zfp941,0.12742315,0.003369472,0.002,0,1,,,,
Gm47106,0.12742315,0.003369472,0.002,0,1,,,,
Gm13388,0.186874126,0.003369472,0.001,0,1,,,,
Celf3,0.186874126,0.003369472,0.001,0,1,,,,
Gm48552,0.186874126,0.003369472,0.001,0,1,,,,
Btn1a1,0.186874126,0.003369472,0.001,0,1,,,,
Gm48824,0.186874126,0.003369472,0.001,0,1,,,,
Ppp1r1a,0.186874126,0.003369472,0.001,0,1,,,,
Gm15323,0.186874126,0.003369472,0.001,0,1,,,,
Gm45602,0.186874152,0.003369472,0.001,0,1,,,,
Cdc20b,0.186874152,0.003369472,0.001,0,1,,,,
Gm21917,0.186874152,0.003369472,0.001,0,1,,,,
Ccdc169,0.186874161,0.003369472,0.001,0,1,,,,
Gm36211,0.186874161,0.003369472,0.001,0,1,,,,
6330411D24Rik,0.186874161,0.003369472,0.001,0,1,,,,
Tas1r3,0.186874161,0.003369472,0.001,0,1,,,,
Gbp10,0.186874161,0.003369472,0.001,0,1,,,,
Wnt2,0.186874161,0.003369472,0.001,0,1,,,,
Ednra,0.186874161,0.003369472,0.001,0,1,,,,
Gm35850,0.186874161,0.003369472,0.001,0,1,,,,
Bco1,0.186874161,0.003369472,0.001,0,1,,,,
4931440F15Rik,0.186874161,0.003369472,0.001,0,1,,,,
Gm11574,0.186874161,0.003369472,0.001,0,1,,,,
1700099I09Rik,0.186874161,0.003369472,0.001,0,1,,,,
Gm4278,0.186874161,0.003369472,0.001,0,1,,,,
Grhl2,0.186874161,0.003369472,0.001,0,1,,,,
Sapcd1,0.186874161,0.003369472,0.001,0,1,,,,
Gm32341,0.186874161,0.003369472,0.001,0,1,,,,
Gm16726,0.186874161,0.003369472,0.001,0,1,,,,
Bex1,0.186874161,0.003369472,0.001,0,1,,,,
Gm40787,0.186874161,0.003369472,0.001,0,1,,,,
4930478L05Rik,0.186874161,0.003369472,0.001,0,1,,,,
E130116L18Rik,0.281289827,0.003369472,0.001,0,1,,,,
Csn3,0.281289827,0.003369472,0.001,0,1,,,,
Klrg1,0.281289827,0.003369472,0.001,0,1,,,,
Ttyh1,0.281289827,0.003369472,0.001,0,1,,,,
Phox2a,0.281289827,0.003369472,0.001,0,1,,,,
Gm47079,0.281289827,0.003369472,0.001,0,1,,,,
Gm39318,0.281289827,0.003369472,0.001,0,1,,,,
Apof,0.281289827,0.003369472,0.001,0,1,,,,
1700030C12Rik,0.281289827,0.003369472,0.001,0,1,,,,
Alox12,0.281289827,0.003369472,0.001,0,1,,,,
Trarg1,0.281289827,0.003369472,0.001,0,1,,,,
Gm11521,0.281289827,0.003369472,0.001,0,1,,,,
Gm40477,0.281289827,0.003369472,0.001,0,1,,,,
D030007L05Rik,0.281289827,0.003369472,0.001,0,1,,,,
Gm2822,0.281289827,0.003369472,0.001,0,1,,,,
Scara5,0.281289827,0.003369472,0.001,0,1,,,,
Tex33,0.281289827,0.003369472,0.001,0,1,,,,
Gp5,0.281289827,0.003369472,0.001,0,1,,,,
Gm36200,0.281289827,0.003369472,0.001,0,1,,,,
1700092M07Rik,0.281289827,0.003369472,0.001,0,1,,,,
Srpx,0.281289827,0.003369472,0.001,0,1,,,,
Mroh3,0.281289841,0.003369472,0.001,0,1,,,,
Sp9,0.281289841,0.003369472,0.001,0,1,,,,
Gm36823,0.281289841,0.003369472,0.001,0,1,,,,
Gm12678,0.281289841,0.003369472,0.001,0,1,,,,
Gm12610,0.281289841,0.003369472,0.001,0,1,,,,
Hnf1aos1,0.281289841,0.003369472,0.001,0,1,,,,
Gpr27,0.281289841,0.003369472,0.001,0,1,,,,
2810404M03Rik,0.281289841,0.003369472,0.001,0,1,,,,
Apoa5,0.281289841,0.003369472,0.001,0,1,,,,
Htr1b,0.281289841,0.003369472,0.001,0,1,,,,
Celf5,0.281289841,0.003369472,0.001,0,1,,,,
Gm47009,0.281289841,0.003369472,0.001,0,1,,,,
Gm11201,0.281289841,0.003369472,0.001,0,1,,,,
Gm17039,0.281289841,0.003369472,0.001,0,1,,,,
Zfp459,0.281289841,0.003369472,0.001,0,1,,,,
Gm35167,0.281289841,0.003369472,0.001,0,1,,,,
Fam135b,0.281289841,0.003369472,0.001,0,1,,,,
Pdzrn4,0.281289841,0.003369472,0.001,0,1,,,,
Muc13,0.281289841,0.003369472,0.001,0,1,,,,
Slc22a2,0.281289841,0.003369472,0.001,0,1,,,,
Slc22a1,0.281289841,0.003369472,0.001,0,1,,,,
Gm41804,0.281289841,0.003369472,0.001,0,1,,,,
Ankrd22,0.281289841,0.003369472,0.001,0,1,,,,
Gm15228,0.281289841,0.003369472,0.001,0,1,,,,
Gm48277,0.281289841,0.003369472,0.001,0,1,,,,
Elovl2,0.281289841,0.003369472,0.001,0,1,,,,
Gm35996,0.281289841,0.003369472,0.001,0,1,,,,
Ly6g,0.281289841,0.003369472,0.001,0,1,,,,
Galnt6os,0.281289841,0.003369472,0.001,0,1,,,,
4930509K18Rik,0.446354993,0.003369472,0,0,1,,,,
Tmem145,0.446354993,0.003369472,0,0,1,,,,
1810064F22Rik,0.446354993,0.003369472,0,0,1,,,,
Gm6980,0.446354993,0.003369472,0,0,1,,,,
Vsnl1,0.446354993,0.003369472,0,0,1,,,,
Aldh1a1,0.446354993,0.003369472,0,0,1,,,,
Mcf2,0.446354993,0.003369472,0,0,1,,,,
4921504E06Rik,0.446354993,0.003369472,0,0,1,,,,
Tmc4,0.689725788,0.003343809,0.011,0.013,1,,,,
Gm16712,0.969827914,0.003330043,0.005,0.005,1,,,,
Cox15,0.526671647,0.003326187,0.027,0.031,1,,,,
Il27ra,0.514608754,0.003323009,0.003,0.002,1,,,,
Ccdc150,0.805569801,0.003323009,0.003,0.003,1,,,,
Fam209,0.977952685,0.003323009,0.003,0.003,1,,,,
Piezo2,0.978568383,0.003323009,0.003,0.003,1,,,,
Prom1,0.995027439,0.003323009,0.005,0.005,1,,,,
Neil2,0.517629044,0.003312623,0.022,0.026,1,,,,
Ranbp6,0.784067809,0.003312623,0.021,0.023,1,,,,
Arap3,0.583767347,0.003291544,0.009,0.011,1,,,,
Gm28050,0.257642723,0.003284313,0.009,0.013,1,,,,
Gm17090,0.136042406,0.003276977,0.007,0.003,1,,,,
Wdr95,0.378295337,0.003276977,0.004,0.005,1,,,,
Pamr1,0.526620319,0.003276977,0.004,0.003,1,,,,
Gm37864,0.307961986,0.003269532,0.002,0.001,1,,,,
Gm19585,0.307961991,0.003269532,0.002,0.001,1,,,,
Gm26877,0.437776596,0.003269532,0.002,0.001,1,,,,
Sit1,0.490851055,0.003269532,0.002,0.001,1,,,,
Myadml2os,0.62603957,0.003269532,0.001,0.001,1,,,,
Syt5,0.626220844,0.003269532,0.001,0.001,1,,,,
Gm16235,0.65316771,0.003269532,0.002,0.001,1,,,,
Gm49164,0.653446812,0.003269532,0.002,0.001,1,,,,
1700067K01Rik,0.830691814,0.003269532,0.002,0.002,1,,,,
Gm13561,0.862008729,0.003269532,0.002,0.001,1,,,,
Tmem45b,0.862172923,0.003269532,0.002,0.001,1,,,,
Shc3,0.965644896,0.003269532,0.002,0.002,1,,,,
Spata24,0.458421664,0.003261251,0.023,0.027,1,,,,
Mettl2,0.162429916,0.003253019,0.099,0.114,1,,,,
Tnk2,0.083601277,0.003239346,0.03,0.041,1,,,,
Ick,0.777811246,0.003239346,0.037,0.039,1,,,,
Nmb,0.858674748,0.003239002,0.01,0.011,1,,,,
Adcy4,0.290272542,0.003231369,0.007,0.004,1,,,,
Gm17546,0.620322287,0.003231369,0.005,0.007,1,,,,
4930511M06Rik,0.738592686,0.003231369,0.006,0.007,1,,,,
Nde1,0.820435191,0.003226542,0.063,0.065,1,,,,
Zbtb14,0.813314438,0.003224688,0.029,0.03,1,,,,
Spata33,0.444878743,0.003223625,0.004,0.006,1,,,,
Gm45188,0.805798687,0.003223625,0.003,0.003,1,,,,
Cntf,0.899910574,0.003223625,0.004,0.004,1,,,,
9330159M07Rik,0.504441399,0.003209613,0.017,0.02,1,,,,
Itgav,0.517718391,0.003206575,0.992,0.991,1,,,,
Dcn,0.848321251,0.003194104,0.012,0.011,1,,,,
Vgll3,0.029331987,0.003191476,0.937,0.902,1,,,,
Tlr6,0.671672939,0.003191476,0.042,0.045,1,,,,
Nrtn,0.499394818,0.003178143,0.007,0.009,1,,,,
Srpx2,0.201890493,0.003169986,0.004,0.001,1,,,,
Gm15759,0.218081556,0.003169986,0.002,0.001,1,,,,
2310043M15Rik,0.27239876,0.003169986,0.003,0.001,1,,,,
Gm9917,0.27239888,0.003169986,0.003,0.001,1,,,,
Gm50269,0.308061147,0.003169986,0.002,0.001,1,,,,
Gm15477,0.366777907,0.003169986,0.003,0.001,1,,,,
Gm15638,0.437776613,0.003169986,0.002,0.001,1,,,,
AI182371,0.491078859,0.003169986,0.002,0.001,1,,,,
4930515G01Rik,0.514608516,0.003169986,0.003,0.002,1,,,,
Rab3b,0.51460874,0.003169986,0.003,0.002,1,,,,
Itga2,0.654005102,0.003169986,0.002,0.001,1,,,,
Bcam,0.654230788,0.003169986,0.004,0.003,1,,,,
Atg9b,0.965356382,0.003169986,0.002,0.002,1,,,,
Tmem217,0.977952685,0.003169986,0.003,0.003,1,,,,
Gdf15,0.103458564,0.003138944,0.126,0.146,1,,,,
Xkr8,0.932088068,0.00313308,0.008,0.008,1,,,,
Gm4755,0.668840576,0.003124631,0.006,0.007,1,,,,
Gm614,0.89860691,0.003124631,0.003,0.003,1,,,,
Mroh8,0.936058468,0.003124631,0.004,0.003,1,,,,
Gm38037,0.365691523,0.003116057,0.003,0.001,1,,,,
4930458D05Rik,0.437371326,0.003116057,0.002,0.001,1,,,,
Gm16282,0.437371326,0.003116057,0.002,0.001,1,,,,
Gm47357,0.437371326,0.003116057,0.002,0.001,1,,,,
Gm17151,0.437371371,0.003116057,0.002,0.001,1,,,,
4930525G20Rik,0.437506431,0.003116057,0.002,0.001,1,,,,
Lrrc71,0.625858318,0.003116057,0.001,0.001,1,,,,
1700003G18Rik,0.626039575,0.003116057,0.001,0.001,1,,,,
Piwil4,0.626039575,0.003116057,0.001,0.001,1,,,,
Btnl2,0.626039575,0.003116057,0.001,0.001,1,,,,
Gm26879,0.626220844,0.003116057,0.001,0.001,1,,,,
Akap5,0.653167735,0.003116057,0.002,0.001,1,,,,
Evpl,0.653446775,0.003116057,0.002,0.001,1,,,,
1700123J17Rik,0.653446778,0.003116057,0.002,0.001,1,,,,
Zfp385c,0.861516178,0.003116057,0.002,0.001,1,,,,
Grin2b,0.861844537,0.003116057,0.002,0.001,1,,,,
Ctf2,0.861844537,0.003116057,0.002,0.001,1,,,,
Gm43608,0.862172912,0.003116057,0.002,0.001,1,,,,
Arhgap33,0.862172912,0.003116057,0.002,0.001,1,,,,
Gm3055,0.862172912,0.003116057,0.002,0.001,1,,,,
Gm49595,0.880496761,0.003116057,0.001,0.001,1,,,,
Apol6,0.902683977,0.003116057,0.001,0.001,1,,,,
Zfp219,0.357612909,0.003110047,0.055,0.062,1,,,,
Galnt2,0.154122603,0.003109725,0.656,0.615,1,,,,
Hist1h4m,0.491181709,0.003105527,0.013,0.011,1,,,,
Trnt1,0.59851753,0.00310014,0.972,0.982,1,,,,
Rftn2,0.957286042,0.00309704,0.011,0.011,1,,,,
E230025N22Rik,0.909591031,0.003079695,0.007,0.007,1,,,,
9330179D12Rik,0.806027585,0.003070831,0.003,0.003,1,,,,
Mettl18,0.475164762,0.00302744,0.021,0.024,1,,,,
Fam8a1,0.635978499,0.003021731,0.058,0.062,1,,,,
Osbpl1a,0.489131573,0.003017576,0.919,0.934,1,,,,
Gm11734,0.529513814,0.003016741,0.005,0.003,1,,,,
Gm15218,0.550800342,0.003016741,0.002,0.003,1,,,,
Gm14532,0.632308574,0.003016741,0.002,0.003,1,,,,
Gm33699,0.653725929,0.003016741,0.002,0.001,1,,,,
Foxa1,0.724509241,0.003016741,0.003,0.003,1,,,,
Gm47204,0.805569772,0.003016741,0.003,0.003,1,,,,
Nap1l3,0.806027524,0.003016741,0.003,0.003,1,,,,
Gm9889,0.831357257,0.003016741,0.002,0.002,1,,,,
Gpc5,0.831490369,0.003016741,0.002,0.002,1,,,,
Dll4,0.880135729,0.003016741,0.001,0.001,1,,,,
Ldb2,0.96578916,0.003016741,0.002,0.002,1,,,,
Kazald1,0.97819896,0.003016741,0.003,0.003,1,,,,
Pex1,0.926033574,0.003013393,0.051,0.052,1,,,,
Mov10,0.878516181,0.003006994,0.064,0.066,1,,,,
Tjp3,0.975574501,0.003000348,0.013,0.013,1,,,,
Mtx3,0.856450512,0.002991057,0.012,0.013,1,,,,
Pole3,0.573164094,0.002984788,0.91,0.923,1,,,,
Jmjd7,0.501065691,0.002975624,0.025,0.028,1,,,,
2310008N11Rik,0.418817394,0.002972066,0.004,0.003,1,,,,
6030468B19Rik,0.658957183,0.002972066,0.003,0.002,1,,,,
A430108G06Rik,0.739211898,0.002972066,0.006,0.007,1,,,,
Zfp524,0.731508517,0.002963305,0.08,0.084,1,,,,
Enpp3,0.307466567,0.00296236,0.002,0.001,1,,,,
Syt12,0.307565558,0.00296236,0.002,0.001,1,,,,
Hey1,0.437236329,0.00296236,0.002,0.001,1,,,,
Gm48646,0.437236329,0.00296236,0.002,0.001,1,,,,
Chrnb1,0.437236329,0.00296236,0.002,0.001,1,,,,
Gm11755,0.437236329,0.00296236,0.002,0.001,1,,,,
Ly6g5b,0.437236329,0.00296236,0.002,0.001,1,,,,
Gm26703,0.437371326,0.00296236,0.002,0.001,1,,,,
Zfp385b,0.625858334,0.00296236,0.001,0.001,1,,,,
Gm11292,0.625858334,0.00296236,0.001,0.001,1,,,,
Pld5,0.62603957,0.00296236,0.001,0.001,1,,,,
Acbd7,0.62603957,0.00296236,0.001,0.001,1,,,,
Hemgn,0.62603957,0.00296236,0.001,0.001,1,,,,
Cldn5,0.62603957,0.00296236,0.001,0.001,1,,,,
Zdhhc19,0.62603957,0.00296236,0.001,0.001,1,,,,
Hcn3,0.626039575,0.00296236,0.001,0.001,1,,,,
D830026I12Rik,0.626039575,0.00296236,0.001,0.001,1,,,,
Ankrd7,0.626039575,0.00296236,0.001,0.001,1,,,,
Fbn2,0.626039575,0.00296236,0.001,0.001,1,,,,
Gm31282,0.697692154,0.00296236,0,0.001,1,,,,
Hspb7,0.902450089,0.00296236,0.001,0.001,1,,,,
Gm30771,0.902450089,0.00296236,0.001,0.001,1,,,,
Fam181b,0.902450089,0.00296236,0.001,0.001,1,,,,
Islr,0.902450089,0.00296236,0.001,0.001,1,,,,
Bdkrb2,0.902450089,0.00296236,0.001,0.001,1,,,,
Gm48162,0.902450089,0.00296236,0.001,0.001,1,,,,
Kcnj6,0.902450089,0.00296236,0.001,0.001,1,,,,
Gm47134,0.902683977,0.00296236,0.001,0.001,1,,,,
Pms2,0.742494045,0.0029518,0.035,0.034,1,,,,
Pcyt1b,0.448020444,0.002937644,0.01,0.013,1,,,,
Pcyt2,0.989353254,0.002934765,0.738,0.736,1,,,,
Prr7,0.202528943,0.002933093,0.019,0.025,1,,,,
Mtrf1,0.615168376,0.002923541,0.024,0.027,1,,,,
Gm49492,0.344986953,0.002917817,0.005,0.003,1,,,,
Col7a1,0.655461558,0.002917817,0.004,0.003,1,,,,
Gm16091,0.887291209,0.002904028,0.011,0.011,1,,,,
Gm26910,0.21328002,0.00289406,0.01,0.014,1,,,,
Tbc1d10c,0.788344817,0.00289406,0.009,0.009,1,,,,
Prrg2,0.519323157,0.002885261,0.055,0.06,1,,,,
Lag3,0.882437168,0.002883948,0.008,0.007,1,,,,
1700001L05Rik,0.909514159,0.002883948,0.007,0.007,1,,,,
Trim62,0.399241166,0.002881132,0.025,0.03,1,,,,
Gm9970,0.649213588,0.002873687,0.004,0.003,1,,,,
Gm43915,0.737973285,0.002873687,0.006,0.007,1,,,,
Neb,0.844944853,0.002873687,0.006,0.005,1,,,,
Tmem64,0.311106584,0.002868848,0.036,0.043,1,,,,
Gm47270,0.272115919,0.002863276,0.003,0.001,1,,,,
1700027I24Rik,0.281031443,0.002863276,0.001,0.002,1,,,,
Dynlrb2,0.308061142,0.002863276,0.002,0.001,1,,,,
Eef1akmt3,0.490851055,0.002863276,0.002,0.001,1,,,,
Tc2n,0.491078859,0.002863276,0.002,0.001,1,,,,
Begain,0.657902726,0.002863276,0.003,0.002,1,,,,
Abcc2,0.80579855,0.002863276,0.003,0.003,1,,,,
Slc6a20b,0.831224166,0.002863276,0.002,0.002,1,,,,
F730035M05Rik,0.831224166,0.002863276,0.002,0.002,1,,,,
Syt16,0.862172921,0.002863276,0.002,0.001,1,,,,
Arhgef33,0.862172921,0.002863276,0.002,0.001,1,,,,
Gm41505,0.862172922,0.002863276,0.002,0.001,1,,,,
Actn3,0.862172922,0.002863276,0.002,0.001,1,,,,
Tcim,0.862665542,0.002863276,0.002,0.001,1,,,,
Gm15608,0.880135726,0.002863276,0.001,0.001,1,,,,
Spag16,0.880316244,0.002863276,0.001,0.001,1,,,,
Robo4,0.880496763,0.002863276,0.001,0.001,1,,,,
Edc3,0.522308251,0.00286264,0.076,0.083,1,,,,
Dld,0.592347384,0.002855366,0.958,0.964,1,,,,
Nol6,0.228546274,0.002847541,0.046,0.055,1,,,,
Magix,0.161173458,0.002840494,0.011,0.016,1,,,,
1810041H14Rik,0.651759215,0.002840494,0.007,0.009,1,,,,
Serpinc1,0.859636631,0.002840494,0.008,0.009,1,,,,
Car11,0.896351646,0.002829965,0.007,0.007,1,,,,
Gm29367,0.563469858,0.002819281,0.004,0.005,1,,,,
Inha,0.991649958,0.002819281,0.005,0.005,1,,,,
Btbd19,0.819008344,0.002817891,0.031,0.032,1,,,,
Drc1,0.088281259,0.00280844,0.002,0,1,,,,
Arhgef26,0.127423138,0.00280844,0.002,0,1,,,,
D630039A03Rik,0.127423138,0.00280844,0.002,0,1,,,,
Etnk2,0.186874152,0.00280844,0.001,0,1,,,,
Platr1,0.186874152,0.00280844,0.001,0,1,,,,
Prss48,0.186874152,0.00280844,0.001,0,1,,,,
A530053G22Rik,0.186874152,0.00280844,0.001,0,1,,,,
Add2,0.186874152,0.00280844,0.001,0,1,,,,
Gm10640,0.186874152,0.00280844,0.001,0,1,,,,
E130304I02Rik,0.186874152,0.00280844,0.001,0,1,,,,
B3gnt6,0.186874152,0.00280844,0.001,0,1,,,,
Gm34885,0.186874152,0.00280844,0.001,0,1,,,,
Nme9,0.186874152,0.00280844,0.001,0,1,,,,
Gm4787,0.186874152,0.00280844,0.001,0,1,,,,
Smoc2,0.186874152,0.00280844,0.001,0,1,,,,
Dntt,0.186874152,0.00280844,0.001,0,1,,,,
Gm15155,0.186874152,0.00280844,0.001,0,1,,,,
Gm32172,0.186874152,0.00280844,0.001,0,1,,,,
Gm32552,0.186874152,0.00280844,0.001,0,1,,,,
Slco5a1,0.281289841,0.00280844,0.001,0,1,,,,
Sgpp2,0.281289841,0.00280844,0.001,0,1,,,,
Gm16028,0.281289841,0.00280844,0.001,0,1,,,,
C230024C17Rik,0.281289841,0.00280844,0.001,0,1,,,,
Astn1,0.281289841,0.00280844,0.001,0,1,,,,
Gm37422,0.281289841,0.00280844,0.001,0,1,,,,
Platr8,0.281289841,0.00280844,0.001,0,1,,,,
Gm30667,0.281289841,0.00280844,0.001,0,1,,,,
Lrrc31,0.281289841,0.00280844,0.001,0,1,,,,
Gucy1b1,0.281289841,0.00280844,0.001,0,1,,,,
Gm43714,0.281289841,0.00280844,0.001,0,1,,,,
Ndst4,0.281289841,0.00280844,0.001,0,1,,,,
Gm42707,0.281289841,0.00280844,0.001,0,1,,,,
Ifnk,0.281289841,0.00280844,0.001,0,1,,,,
Gm12514,0.281289841,0.00280844,0.001,0,1,,,,
Kncn,0.281289841,0.00280844,0.001,0,1,,,,
Gm13025,0.281289841,0.00280844,0.001,0,1,,,,
4921514A10Rik,0.281289841,0.00280844,0.001,0,1,,,,
1700016F12Rik,0.281289841,0.00280844,0.001,0,1,,,,
Fscn3,0.281289841,0.00280844,0.001,0,1,,,,
Try10,0.281289841,0.00280844,0.001,0,1,,,,
Ret,0.281289841,0.00280844,0.001,0,1,,,,
Gm19434,0.281289841,0.00280844,0.001,0,1,,,,
Gm21814,0.281289841,0.00280844,0.001,0,1,,,,
Pcsk6,0.281289841,0.00280844,0.001,0,1,,,,
Gm42397,0.281289841,0.00280844,0.001,0,1,,,,
Gm44737,0.281289841,0.00280844,0.001,0,1,,,,
Qprt,0.281289841,0.00280844,0.001,0,1,,,,
Gm6249,0.281289841,0.00280844,0.001,0,1,,,,
Smim38,0.281289841,0.00280844,0.001,0,1,,,,
Cd209e,0.281289841,0.00280844,0.001,0,1,,,,
2810030D12Rik,0.281289841,0.00280844,0.001,0,1,,,,
Gm16725,0.281289841,0.00280844,0.001,0,1,,,,
Pdlim3,0.281289841,0.00280844,0.001,0,1,,,,
Gm31786,0.281289841,0.00280844,0.001,0,1,,,,
Slc38a8,0.281289841,0.00280844,0.001,0,1,,,,
Arhgap20os,0.281289841,0.00280844,0.001,0,1,,,,
Gm17098,0.281289841,0.00280844,0.001,0,1,,,,
Gm35715,0.281289841,0.00280844,0.001,0,1,,,,
Lrrc2,0.281289841,0.00280844,0.001,0,1,,,,
Gm10322,0.281289841,0.00280844,0.001,0,1,,,,
Gm10754,0.281289841,0.00280844,0.001,0,1,,,,
Doc2b,0.281289841,0.00280844,0.001,0,1,,,,
Krt19,0.281289841,0.00280844,0.001,0,1,,,,
Armh2,0.281289841,0.00280844,0.001,0,1,,,,
Agtr1a,0.281289841,0.00280844,0.001,0,1,,,,
Gm10775,0.281289841,0.00280844,0.001,0,1,,,,
